,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Average of Result Value (10% of RDL for NDs),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,EtFOSA,GenX,MeFOSA,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFTA,PFTrDA,PFUnA,Grand Total,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2016,,,,9,,,1,,3,2,2,4,,,,3.5,,,,,,,,,,
7/5/2016,,,,9,,,1,,3,2,2,4,,,,3.5,,,,,,,,,,
7/14/2016,,,,9,,,1,,3,2,2,4,,,,3.5,,,,,,,,,,
7/26/2016,,,,9,,,1,,3,2,2,4,,,,3.5,,,,,,,,,,
8/9/2016,,,,9,,,1,,3,2,2,4,,,,3.5,,,,,,,,,,
8/23/2016,,,,6.44,,,0.4,,4.96,0.4,12,10.2,,,,5.73333333333333,,,,,,,,,,
9/6/2016,,,,10.7,,,4.34,,7.87,0.4,17.9,11.6,,,,8.80166666666667,,,,,,,,,,
10/17/2016,,,,9.8,,,10.9,,6.7,7.6,39.8,19.6,,,,15.7333333333333,,,,,,,,,,
11/2/2016,,,,11,,,5.5,,6.4,0.4,18.8,11.4,,,,8.91666666666667,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2017,,,,4,,,0.4,,0.4,0.4,10.4,11.1,,,,4.45,,,,,,,,,,
2/1/2017,,,,5.6,,,4.3,,4.4,0.4,10.8,10.1,,,,5.93333333333333,,,,,,,,,,
2/14/2017,,,,5.5,,,4.2,,4.5,0.4,12.3,10.9,,,,6.3,,,,,,,,,,
2/28/2017,,,,8.8,,,6.7,,7.6,0.4,20.8,17.7,,,,10.3333333333333,,,,,,,,,,
3/14/2017,,,,7.5,,,5,,6.3,0.4,15,14,,,,8.03333333333333,,,,,,,,,,
3/28/2017,,,,9.1,,,5.8,,8,0.4,17.3,13.2,,,,8.96666666666667,,,,,,,,,,
4/11/2017,,,,10.7,,,6.6,,8.7,0.4,20.6,16.2,,,,10.5333333333333,,,,,,,,,,
4/24/2017,,,,12.6,,,5.6,,11.2,0.4,22.2,18.9,,,,11.8166666666667,,,,,,,,,,
4/25/2017,,,,12.1,,,5.7,,10.6,0.4,23.3,21,,,,12.1833333333333,,,,,,,,,,
5/9/2017,,,,12.3,,,7.4,,9.8,0.4,27.5,20.6,,,,13,,,,,,,,,,
5/22/2017,,,,11.9,,,5.4,,9.7,0.4,22.2,17.2,,,,11.1333333333333,,,,,,,,,,
6/6/2017,,,,13.9,,,5,,10.3,0.4,22.5,17,,,,11.5166666666667,,,,,,,,,,
6/21/2017,,,,11.4,,,5.1,,10.3,0.4,22,16.6,,,,10.9666666666667,,,,,,,,,,
6/28/2017,,,,12.4,,,4.6,,10.8,0.4,21.7,15.8,,,,10.95,,,,,,,,,,
7/18/2017,,,,11.9,,,5.5,,9.5,0.4,21.1,15.4,,,,10.6333333333333,,,,,,,,,,
8/1/2017,,,,13.3,,,5.6,,11,0.4,23.9,18,,,,12.0333333333333,,,,,,,,,,
8/29/2017,,,,11,,,5,,8.6,0.4,21.8,14.6,,,,10.2333333333333,,,,,,,,,,
9/29/2017,,,,12.2,,,5.4,,9,0.4,21,16.2,,,,10.7,,,,,,,,,,
10/11/2017,,,,11.5,,,5.3,,8.5,0.4,25.6,14,,,,10.8833333333333,,,,,,,,,,
11/8/2017,,,,11.3,,,5.3,,8.8,0.4,20.9,16,,,,10.45,,,,,,,,,,
11/20/2017,,,,8.7,,,0.4,,7,0.4,16.4,11.8,,,,7.45,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2018,,,,8.9,,,9.7,,5.6,6.5,30.2,27.7,,,,14.7666666666667,,,,,,,,,,
1/10/2018,,,,9,,,8.9,,4.9,4.4,23.2,20.9,,,,11.8833333333333,,,,,,,,,,
2/21/2018,,,,14.5,,,6,,11,0.4,23.1,20.4,,,,12.5666666666667,,,,,,,,,,
3/6/2018,,,,9.8,,,5.6,,9.15,1.3,20.95,19.45,,,,11.0416666666667,,,,,,,,,,
4/25/2018,,,,10.7,,,5.2,,7.5,0.4,23,16.7,,,,10.5833333333333,,,,,,,,,,
5/22/2018,,0.4,,10.9,0.4,0.4,4.6,24.9,7.6,0.4,19.9,18.1,0.4,0.4,0.4,6.83076923076923,,,,,,,,,,
6/5/2018,,,,14.8,,,6.2,,12.5,0.4,27.1,22,,,,13.8333333333333,,,,,,,,,,
7/23/2018,,0.4,,11.4,0.4,0.4,4.9,20.1,7,0.4,20.8,16.5,0.4,0.4,0.4,6.42307692307692,,,,,,,,,,
8/14/2018,,0.4,,9.9,0.4,0.4,4.7,18.3,6.9,0.4,20.7,19,0.4,0.4,0.4,6.33076923076923,,,,,,,,,,
9/18/2018,,0.4,,14.8,0.4,0.4,6.1,29.8,9.8,0.4,21.7,26.2,0.4,0.4,0.4,8.55384615384616,,,,,,,,,,
10/22/2018,,0.4,,11.8,0.4,0.4,6.5,25,7.6,0.4,20.5,17.7,0.4,0.4,0.4,7.06923076923077,,,,,,,,,,
11/7/2018,,0.4,,11.1,0.4,0.4,5.3,23.2,7.8,0.4,17.8,19,0.4,0.4,0.4,6.69230769230769,,,,,,,,,,
12/4/2018,,0.4,,10,0.4,0.4,5.8,28.6,6.6,0.4,16.8,21.6,0.4,0.4,0.4,7.09230769230769,,,,,,,,,,
12/18/2018,,0.4,,11.8,0.4,0.4,5.4,22.2,8.5,0.4,17.1,19.4,0.4,0.4,0.4,6.70769230769231,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2019,0.4,0.4,0.4,12.9,0.4,0.4,5.7,23.2,12,0.4,19.1,21.7,1,0.4,0.4,6.58666666666667,,,,,,,,,,
1/17/2019,0.4,0.4,0.4,5.3,0.4,0.4,0.4,9.3,0.4,0.4,12,12.4,1,0.4,0.4,2.93333333333333,,,,,,,,,,
2/5/2019,0.4,0.4,0.4,5.3,0.4,0.4,0.4,10,4.4,0.4,11.6,12,0.4,0.4,0.4,3.15333333333333,,,,,,,,,,
2/20/2019,0.4,0.4,0.4,6.6,0.4,0.4,4.7,14,5.3,0.4,14.7,15.8,0.4,0.4,0.4,4.31333333333333,,,,,,,,,,
3/21/2019,0.4,,0.4,11,0.4,0.4,5.4,19.6,8.2,0.4,17.2,17.7,0.4,0.4,0.4,5.87857142857143,,,,,,,,,,
4/9/2019,0.4,,0.4,10.8,0.4,0.4,5.6,22.2,7.9,0.4,17.3,17.3,0.4,0.4,0.4,6.02142857142857,,,,,,,,,,
5/7/2019,0.4,,0.4,10.1,0.4,0.4,8.3,27.3,10.9,0.4,20.8,18.4,0.4,0.4,0.4,7.07142857142857,,,,,,,,,,
6/4/2019,0.4,,0.4,12.9,0.4,0.4,7.8,25.2,13.3,0.4,20.4,26.5,0.4,0.4,0.4,7.80714285714286,,,,,,,,,,
Grand Total,0.4,0.4,0.4,10.2781132075472,0.4,0.4,4.89132075471698,21.43125,7.54584905660377,0.91132075471698,18.3905660377359,15.9433962264151,0.475,0.4,0.4,7.82626696832579,,,,,,,,,,