,STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method,latitude,longitude
87,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-03-28,08:45:00,0.4,ND,ng/L,4,N,17030715-02,537,33.85746227,-117.79209184
88,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-03-28,08:45:00,13.2,13.2,ng/L,4,Y,17030715-02,537,33.85746227,-117.79209184
85,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-03-28,08:45:00,5.8,5.8,ng/L,4,Y,17030715-02,537,33.85746227,-117.79209184
84,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-03-28,08:45:00,9.1,9.1,ng/L,4,Y,17030715-02,537,33.85746227,-117.79209184
86,US1CAOR0021,33.8632,-117.7918,90.8,2017-03-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-03-28,08:45:00,8.0,8.0,ng/L,4,Y,17030715-02,537,33.85746227,-117.79209184
90,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-04-11,11:50:00,10.7,10.7,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
91,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-04-11,11:50:00,6.6,6.6,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
92,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-04-11,11:50:00,8.7,8.7,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
93,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-04-11,11:50:00,0.4,ND,ng/L,4,N,17040341-02,537,33.85746227,-117.79209184
94,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-04-11,11:50:00,16.2,16.2,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
95,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-04-11,11:50:00,20.6,20.6,ng/L,4,Y,17040341-02,537,33.85746227,-117.79209184
100,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-04-24,10:50:00,18.9,18.9,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
96,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-04-24,10:50:00,12.6,12.6,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
97,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-04-24,10:50:00,5.6,5.6,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
98,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-04-24,10:50:00,11.2,11.2,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
99,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-04-24,10:50:00,0.4,ND,ng/L,4,N,17040732-02,537,33.85746227,-117.79209184
101,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-24,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-04-24,10:50:00,22.2,22.2,ng/L,4,Y,17040732-02,537,33.85746227,-117.79209184
107,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-04-25,14:15:00,23.3,23.3,ng/L,4,Y,17040815-02,537,33.85746227,-117.79209184
106,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-04-25,14:15:00,21.0,21.0,ng/L,4,Y,17040815-02,537,33.85746227,-117.79209184
105,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-04-25,14:15:00,0.4,ND,ng/L,4,N,17040815-02,537,33.85746227,-117.79209184
104,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-04-25,14:15:00,10.6,10.6,ng/L,4,Y,17040815-02,537,33.85746227,-117.79209184
103,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-04-25,14:15:00,5.7,5.7,ng/L,4,Y,17040815-02,537,33.85746227,-117.79209184
102,US1CAOR0021,33.8632,-117.7918,90.8,2017-04-25,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-04-25,14:15:00,12.1,12.1,ng/L,4,Y,17040815-02,537,33.85746227,-117.79209184
108,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-05-09,11:30:00,12.3,12.3,ng/L,4,Y,17050282-02,537,33.85746227,-117.79209184
109,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-05-09,11:30:00,7.4,7.4,ng/L,4,Y,17050282-02,537,33.85746227,-117.79209184
110,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-05-09,11:30:00,9.8,9.8,ng/L,4,Y,17050282-02,537,33.85746227,-117.79209184
111,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-05-09,11:30:00,0.4,ND,ng/L,4,N,17050282-02,537,33.85746227,-117.79209184
112,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-05-09,11:30:00,20.6,20.6,ng/L,4,Y,17050282-02,537,33.85746227,-117.79209184
113,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-05-09,11:30:00,27.5,27.5,ng/L,4,Y,17050282-02,537,33.85746227,-117.79209184
119,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-05-22,12:05:00,22.2,22.2,ng/L,4,Y,17050689-02,537,33.85746227,-117.79209184
118,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-05-22,12:05:00,17.2,17.2,ng/L,4,Y,17050689-02,537,33.85746227,-117.79209184
117,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-05-22,12:05:00,0.4,ND,ng/L,4,N,17050689-02,537,33.85746227,-117.79209184
116,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-05-22,12:05:00,9.7,9.7,ng/L,4,Y,17050689-02,537,33.85746227,-117.79209184
115,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-05-22,12:05:00,5.4,5.4,ng/L,4,Y,17050689-02,537,33.85746227,-117.79209184
114,US1CAOR0021,33.8632,-117.7918,90.8,2017-05-22,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-05-22,12:05:00,11.9,11.9,ng/L,4,Y,17050689-02,537,33.85746227,-117.79209184
120,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-06-06,08:50:00,13.9,13.9,ng/L,4,Y,17060172-02,537,33.85746227,-117.79209184
121,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-06-06,08:50:00,5.0,5.0,ng/L,4,Y,17060172-02,537,33.85746227,-117.79209184
122,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-06-06,08:50:00,10.3,10.3,ng/L,4,Y,17060172-02,537,33.85746227,-117.79209184
123,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-06-06,08:50:00,0.4,ND,ng/L,4,N,17060172-02,537,33.85746227,-117.79209184
124,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-06-06,08:50:00,17.0,17.0,ng/L,4,Y,17060172-02,537,33.85746227,-117.79209184
125,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-06,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-06-06,08:50:00,22.5,22.5,ng/L,4,Y,17060172-02,537,33.85746227,-117.79209184
130,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-21,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-06-21,09:25:00,16.6,16.6,ng/L,4,Y,17060591-02,537,33.85746227,-117.79209184
129,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-21,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-06-21,09:25:00,0.4,ND,ng/L,4,N,17060591-02,537,33.85746227,-117.79209184
131,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-21,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-06-21,09:25:00,22.0,22.0,ng/L,4,Y,17060591-02,537,33.85746227,-117.79209184
127,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-21,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-06-21,09:25:00,5.1,5.1,ng/L,4,Y,17060591-02,537,33.85746227,-117.79209184
126,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-21,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-06-21,09:25:00,11.4,11.4,ng/L,4,Y,17060591-02,537,33.85746227,-117.79209184
128,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-21,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-06-21,09:25:00,10.3,10.3,ng/L,4,Y,17060591-02,537,33.85746227,-117.79209184
132,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-06-28,09:20:00,12.4,12.4,ng/L,4,Y,17060805-02,537,33.85746227,-117.79209184
133,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-06-28,09:20:00,4.6,4.6,ng/L,4,Y,17060805-02,537,33.85746227,-117.79209184
134,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-06-28,09:20:00,10.8,10.8,ng/L,4,Y,17060805-02,537,33.85746227,-117.79209184
135,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-06-28,09:20:00,0.4,ND,ng/L,4,N,17060805-02,537,33.85746227,-117.79209184
136,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-06-28,09:20:00,15.8,15.8,ng/L,4,Y,17060805-02,537,33.85746227,-117.79209184
137,US1CAOR0021,33.8632,-117.7918,90.8,2017-06-28,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-06-28,09:20:00,21.7,21.7,ng/L,4,Y,17060805-02,537,33.85746227,-117.79209184
142,US1CAOR0021,33.8632,-117.7918,90.8,2017-07-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-07-18,12:10:00,15.4,15.4,ng/L,4,Y,17070563-02,537,33.85746227,-117.79209184
141,US1CAOR0021,33.8632,-117.7918,90.8,2017-07-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-07-18,12:10:00,0.4,ND,ng/L,4,N,17070563-02,537,33.85746227,-117.79209184
143,US1CAOR0021,33.8632,-117.7918,90.8,2017-07-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-07-18,12:10:00,21.1,21.1,ng/L,4,Y,17070563-02,537,33.85746227,-117.79209184
139,US1CAOR0021,33.8632,-117.7918,90.8,2017-07-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-07-18,12:10:00,5.5,5.5,ng/L,4,Y,17070563-02,537,33.85746227,-117.79209184
138,US1CAOR0021,33.8632,-117.7918,90.8,2017-07-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-07-18,12:10:00,11.9,11.9,ng/L,4,Y,17070563-02,537,33.85746227,-117.79209184
140,US1CAOR0021,33.8632,-117.7918,90.8,2017-07-18,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-07-18,12:10:00,9.5,9.5,ng/L,4,Y,17070563-02,537,33.85746227,-117.79209184
148,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-08-01,13:00:00,18.0,18.0,ng/L,4,Y,17080025-02,537,33.85746227,-117.79209184
147,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-08-01,13:00:00,0.4,ND,ng/L,4,N,17080025-02,537,33.85746227,-117.79209184
149,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-08-01,13:00:00,23.9,23.9,ng/L,4,Y,17080025-02,537,33.85746227,-117.79209184
145,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-08-01,13:00:00,5.6,5.6,ng/L,4,Y,17080025-02,537,33.85746227,-117.79209184
144,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-08-01,13:00:00,13.3,13.3,ng/L,4,Y,17080025-02,537,33.85746227,-117.79209184
146,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-01,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-08-01,13:00:00,11.0,11.0,ng/L,4,Y,17080025-02,537,33.85746227,-117.79209184
150,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-08-29,10:10:00,11.0,11.0,ng/L,4,Y,17080783-02,537,33.85746227,-117.79209184
151,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-08-29,10:10:00,5.0,5.0,ng/L,4,Y,17080783-02,537,33.85746227,-117.79209184
152,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-08-29,10:10:00,8.6,8.6,ng/L,4,Y,17080783-02,537,33.85746227,-117.79209184
153,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-08-29,10:10:00,0.4,ND,ng/L,4,N,17080783-02,537,33.85746227,-117.79209184
154,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-08-29,10:10:00,14.6,14.6,ng/L,4,Y,17080783-02,537,33.85746227,-117.79209184
155,US1CAOR0021,33.8632,-117.7918,90.8,2017-08-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-08-29,10:10:00,21.8,21.8,ng/L,4,Y,17080783-02,537,33.85746227,-117.79209184
160,US1CAOR0021,33.8632,-117.7918,90.8,2017-09-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-09-29,10:30:00,16.2,16.2,ng/L,4,Y,17090751-02,537,33.85746227,-117.79209184
161,US1CAOR0021,33.8632,-117.7918,90.8,2017-09-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-09-29,10:30:00,21.0,21.0,ng/L,4,Y,17090751-02,537,33.85746227,-117.79209184
158,US1CAOR0021,33.8632,-117.7918,90.8,2017-09-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-09-29,10:30:00,9.0,9.0,ng/L,4,Y,17090751-02,537,33.85746227,-117.79209184
157,US1CAOR0021,33.8632,-117.7918,90.8,2017-09-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-09-29,10:30:00,5.4,5.4,ng/L,4,Y,17090751-02,537,33.85746227,-117.79209184
156,US1CAOR0021,33.8632,-117.7918,90.8,2017-09-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-09-29,10:30:00,12.2,12.2,ng/L,4,Y,17090751-02,537,33.85746227,-117.79209184
159,US1CAOR0021,33.8632,-117.7918,90.8,2017-09-29,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-09-29,10:30:00,0.4,ND,ng/L,4,N,17090751-02,537,33.85746227,-117.79209184
162,US1CAOR0021,33.8632,-117.7918,90.8,2017-10-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2017-10-11,12:40:00,11.5,11.5,ng/L,4,Y,17100389-02,537,33.85746227,-117.79209184
163,US1CAOR0021,33.8632,-117.7918,90.8,2017-10-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2017-10-11,12:40:00,5.3,5.3,ng/L,4,Y,17100389-02,537,33.85746227,-117.79209184
164,US1CAOR0021,33.8632,-117.7918,90.8,2017-10-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2017-10-11,12:40:00,8.5,8.5,ng/L,4,Y,17100389-02,537,33.85746227,-117.79209184
165,US1CAOR0021,33.8632,-117.7918,90.8,2017-10-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-10-11,12:40:00,0.4,ND,ng/L,4,N,17100389-02,537,33.85746227,-117.79209184
166,US1CAOR0021,33.8632,-117.7918,90.8,2017-10-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-10-11,12:40:00,14.0,14.0,ng/L,4,Y,17100389-02,537,33.85746227,-117.79209184
167,US1CAOR0021,33.8632,-117.7918,90.8,2017-10-11,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-10-11,12:40:00,25.6,25.6,ng/L,4,Y,17100389-02,537,33.85746227,-117.79209184
171,US1CAOR0021,33.8632,-117.7918,90.8,2017-11-08,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2017-11-08,10:20:00,0.4,ND,ng/L,4,N,17110223-02,537,33.85746227,-117.79209184
173,US1CAOR0021,33.8632,-117.7918,90.8,2017-11-08,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2017-11-08,10:20:00,20.9,20.9,ng/L,4,Y,17110223-02,537,33.85746227,-117.79209184
172,US1CAOR0021,33.8632,-117.7918,90.8,2017-11-08,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2017-11-08,10:20:00,16.0,16.0,ng/L,4,Y,17110223-02,537,33.85746227,-117.79209184
